time=    0, Simulation Start
time=    0, Starting Reset
time=   40, Reset Completed
time=   40, Starting Test
Time=45 Error dut_A: Q=xxxx, rco=x, load=0, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=45 Error dut_B: Q=xxxx, rco=x, load=x, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=45 Error dut_C: Q=xxxx, rco=x, load=0, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=55 Error dut_A: Q=xxxx, rco=x, load=0, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=55 Error dut_B: Q=xxxx, rco=x, load=x, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=55 Error dut_C: Q=xxxx, rco=x, load=0, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=65 Error dut_A: Q=xxxx, rco=x, load=0, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=65 Error dut_B: Q=xxxx, rco=x, load=x, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=65 Error dut_C: Q=xxxx, rco=x, load=0, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=75 Error dut_A: Q=xxxx, rco=x, load=0, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=75 Error dut_B: Q=xxxx, rco=x, load=x, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=75 Error dut_C: Q=xxxx, rco=x, load=0, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=85 Error dut_A: Q=xxxx, rco=x, load=0, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=85 Error dut_B: Q=xxxx, rco=x, load=x, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=85 Error dut_C: Q=xxxx, rco=x, load=0, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=95 Error dut_A: Q=xxxx, rco=x, load=0, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=95 Error dut_B: Q=xxxx, rco=x, load=x, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=95 Error dut_C: Q=xxxx, rco=x, load=0, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=105 Error dut_A: Q=xxxx, rco=x, load=0, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=105 Error dut_B: Q=xxxx, rco=x, load=x, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=105 Error dut_C: Q=xxxx, rco=x, load=0, scoreboard: Q_=xxxx, rco_=0, load_=0
Time=115 Error dut_A: Q=1001, rco=1, load=1, scoreboard: Q_=1001, rco_=0, load_=1
Time=125 Error dut_A: Q=1010, rco=1, load=1, scoreboard: Q_=1010, rco_=0, load_=1
Time=135 Error dut_A: Q=1011, rco=1, load=1, scoreboard: Q_=1011, rco_=0, load_=1
Time=145 Error dut_A: Q=1100, rco=1, load=1, scoreboard: Q_=1100, rco_=0, load_=1
Time=155 Error dut_A: Q=1111, rco=1, load=0, scoreboard: Q_=1111, rco_=0, load_=0
Time=185 Error dut_B: Q=1000, rco=0, load=1, scoreboard: Q_=1000, rco_=0, load_=0
Time=195 Error dut_A: Q=1011, rco=1, load=0, scoreboard: Q_=1011, rco_=0, load_=0
Time=215 Error dut_A: Q=1101, rco=1, load=1, scoreboard: Q_=1101, rco_=0, load_=1
Time=225 Error dut_A: Q=0000, rco=0, load=0, scoreboard: Q_=0000, rco_=1, load_=0
Time=275 Error dut_A: Q=1111, rco=1, load=0, scoreboard: Q_=1111, rco_=0, load_=0
Time=305 Error dut_A: Q=1001, rco=1, load=1, scoreboard: Q_=1001, rco_=0, load_=1
Time=315 Error dut_A: Q=1010, rco=1, load=1, scoreboard: Q_=1010, rco_=0, load_=1
Time=325 Error dut_A: Q=1011, rco=1, load=1, scoreboard: Q_=1011, rco_=0, load_=1
Time=335 Error dut_A: Q=1100, rco=1, load=1, scoreboard: Q_=1100, rco_=0, load_=1
Time=345 Error dut_A: Q=1111, rco=1, load=0, scoreboard: Q_=1111, rco_=0, load_=0
Time=375 Error dut_B: Q=1000, rco=0, load=1, scoreboard: Q_=1000, rco_=0, load_=0
Time=385 Error dut_A: Q=1011, rco=1, load=0, scoreboard: Q_=1011, rco_=0, load_=0
Time=405 Error dut_A: Q=1101, rco=1, load=1, scoreboard: Q_=1101, rco_=0, load_=1
Time=415 Error dut_A: Q=0000, rco=0, load=0, scoreboard: Q_=0000, rco_=1, load_=0
Time=465 Error dut_A: Q=1111, rco=1, load=0, scoreboard: Q_=1111, rco_=0, load_=0
Time=495 Error dut_A: Q=1001, rco=1, load=1, scoreboard: Q_=1001, rco_=0, load_=1
Time=505 Error dut_A: Q=1010, rco=1, load=1, scoreboard: Q_=1010, rco_=0, load_=1
Time=515 Error dut_A: Q=1011, rco=1, load=1, scoreboard: Q_=1011, rco_=0, load_=1
Time=525 Error dut_A: Q=1100, rco=1, load=1, scoreboard: Q_=1100, rco_=0, load_=1
Time=535 Error dut_A: Q=1111, rco=1, load=0, scoreboard: Q_=1111, rco_=0, load_=0
Time=565 Error dut_B: Q=1000, rco=0, load=1, scoreboard: Q_=1000, rco_=0, load_=0
Time=575 Error dut_A: Q=1011, rco=1, load=0, scoreboard: Q_=1011, rco_=0, load_=0
Time=595 Error dut_A: Q=1101, rco=1, load=1, scoreboard: Q_=1101, rco_=0, load_=1
Time=605 Error dut_A: Q=0000, rco=0, load=0, scoreboard: Q_=0000, rco_=1, load_=0
Time=655 Error dut_A: Q=1111, rco=1, load=0, scoreboard: Q_=1111, rco_=0, load_=0
Time=685 Error dut_A: Q=1001, rco=1, load=1, scoreboard: Q_=1001, rco_=0, load_=1
Time=695 Error dut_A: Q=1010, rco=1, load=1, scoreboard: Q_=1010, rco_=0, load_=1
Time=705 Error dut_A: Q=1011, rco=1, load=1, scoreboard: Q_=1011, rco_=0, load_=1
Time=715 Error dut_A: Q=1100, rco=1, load=1, scoreboard: Q_=1100, rco_=0, load_=1
Time=725 Error dut_A: Q=1111, rco=1, load=0, scoreboard: Q_=1111, rco_=0, load_=0
Time=755 Error dut_B: Q=1000, rco=0, load=1, scoreboard: Q_=1000, rco_=0, load_=0
Time=765 Error dut_A: Q=1011, rco=1, load=0, scoreboard: Q_=1011, rco_=0, load_=0
Time=785 Error dut_A: Q=1101, rco=1, load=1, scoreboard: Q_=1101, rco_=0, load_=1
Time=795 Error dut_A: Q=0000, rco=0, load=0, scoreboard: Q_=0000, rco_=1, load_=0
Time=845 Error dut_A: Q=1111, rco=1, load=0, scoreboard: Q_=1111, rco_=0, load_=0
Time=875 Error dut_A: Q=1001, rco=1, load=1, scoreboard: Q_=1001, rco_=0, load_=1
Time=885 Error dut_A: Q=1010, rco=1, load=1, scoreboard: Q_=1010, rco_=0, load_=1
Time=895 Error dut_A: Q=1011, rco=1, load=1, scoreboard: Q_=1011, rco_=0, load_=1
Time=905 Error dut_A: Q=1100, rco=1, load=1, scoreboard: Q_=1100, rco_=0, load_=1
Time=915 Error dut_A: Q=1111, rco=1, load=0, scoreboard: Q_=1111, rco_=0, load_=0
Time=945 Error dut_B: Q=1000, rco=0, load=1, scoreboard: Q_=1000, rco_=0, load_=0
Time=955 Error dut_A: Q=1011, rco=1, load=0, scoreboard: Q_=1011, rco_=0, load_=0
Time=975 Error dut_A: Q=1101, rco=1, load=1, scoreboard: Q_=1101, rco_=0, load_=1
